Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
La passion de Jeanne d'Arc,1928,110,"Biografía, Drama, Historia",8.1,"En 1431, Juana de Arco es juzgada por herejía. Los juristas eclesiásticos intentan obligar a Juana a retractarse de sus afirmaciones de tener visiones santas.",Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,AndrÃ© Berley,Maurice Schutz
The Circus,1928,72,Comedia romántica,8.1,El Vagabundo encuentra trabajo y a la chica de sus sueños en un circo.,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker
Sunrise: A Song of Two Humans,1927,94,"Drama, Romance",8.1,Un cuento alegórico sobre un hombre que lucha contra el bien y el mal dentro de él. Ambos lados se hacen carne: uno es una mujer sofisticada que le atrae y el otro su esposa.,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing
The General,1926,67,"Acción, Aventura, Comedia",8.1,"Cuando los espías de la Unión roban la querida locomotora de un ingeniero, éste la persigue él solo y a través de las líneas enemigas.",Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender
Das Cabinet des Dr. Caligari,1920,76,"Fantasía, Terror, Misterio",8.1,"El hipnotizador Dr. Caligari utiliza a un sonámbulo, Cesare, para cometer asesinatos.",Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover
Badhaai ho,2018,124,Comedia dramática,8.0,Un hombre se avergüenza cuando descubre que su madre está embarazada.,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra
Togo,2019,113,"Aventura, Biografía, Drama",8.0,"La historia de Togo, el perro de trineo que lideró la carrera del suero en 1925, pero que la mayoría consideraba demasiado pequeño y débil para liderar una carrera tan intensa.",Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer
Airlift,2016,130,"Drama, Historia",8.0,"Cuando Irak invade Kuwait en agosto de 1990, un insensible empresario indio se convierte en portavoz de más de 170.000 compatriotas varados.",Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi
Bajrangi Bhaijaan,2015,163,"Acción, Aventura, Comedia",8.0,Un hombre indio con un corazón magnánimo lleva a una joven paquistaní muda de regreso a su tierra natal para reunirla con su familia.,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor
Baby,2015,159,"Acción, Crimen, Suspense",8.0,"Una unidad de contrainteligencia de élite se entera de un complot, ideado por un loco maníaco. Mientras el tiempo corre, les corresponde a ellos rastrear los tentáculos internacionales de los terroristas y evitar que ataquen el corazón de la India.",Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu
La La Land,2016,128,"Comedia, Drama, Música",8.0,"Mientras navegan por sus carreras en Los Ángeles, un pianista y una actriz se enamoran mientras intentan conciliar sus aspiraciones para el futuro.",Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons
Lion,2016,118,"Biografía, Drama",8.0,"Un niño indio de cinco años es adoptado por una pareja australiana tras perderse a cientos de kilómetros de su casa. 25 años después, se propone encontrar a su familia perdida.",Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar
The Martian,2015,144,"Aventura, Drama, Ciencia ficción",8.0,"Un astronauta queda varado en Marte después de que su equipo lo asume muerto, y debe confiar en su ingenio para encontrar una manera de indicarle a la Tierra que está vivo.",Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara
Zootopia,2016,108,"Animación, Aventura, Comedia",8.0,"En una ciudad de animales antropomórficos, un policía novato y un zorro cínico estafador deben trabajar juntos para descubrir una conspiración.",Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman
BÃ£hubali: The Beginning,2015,159,"Acción, Drama",8.0,"En la antigua India, un hombre aventurero y atrevido se ve envuelto en una disputa de décadas entre dos pueblos en guerra.",S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj
Kaguyahime no monogatari,2013,137,"Animación, Aventura, Drama",8.0,"Encontrada dentro de un brillante tallo de bambú por un viejo cortador de bambú y su esposa, una pequeña niña crece rápidamente hasta convertirse en una joven exquisita. La misteriosa joven princesa cautiva a todos los que la encuentran, pero al final debe enfrentar su destino, el castigo por su crimen.",Isao Takahata,ChloÃ« Grace Moretz,James Caan,Mary Steenburgen,James Marsden
Wonder,2017,113,"Drama, Familia",8.0,"Basada en el bestseller del New York Times, esta película cuenta la increíblemente inspiradora y conmovedora historia de August Pullman, un niño con diferencias faciales que ingresa al quinto grado y asiste a una escuela primaria convencional por primera vez.",Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts
Gully Boy,2019,154,"Drama, Música, Romance",8.0,Una historia sobre la mayoría de edad basada en la vida de los raperos callejeros de Mumbai.,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz
Special Chabbis,2013,144,"Crimen, Drama, Suspense",8.0,Una banda de estafadores roba a destacados empresarios y políticos ricos haciéndose pasar por funcionarios de la CBI y del impuesto sobre la renta.,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill
Short Term 12,2013,96,Drama,8.0,"Una veinteañera, miembro del personal supervisor de un centro de tratamiento residencial, navega por las aguas turbulentas de ese mundo junto a su compañero de trabajo y su novio de toda la vida.",Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever
Serbuan maut 2: Berandal,2014,150,"Acción, Crimen, Suspense",8.0,"Poco tiempo después de la primera redada, Rama se infiltra con los matones de Yakarta y planea derribar el sindicato y descubrir la corrupción dentro de su fuerza policial.",Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara
The Imitation Game,2014,114,"Biografía, Drama, Suspense",8.0,"Durante la Segunda Guerra Mundial, el genio matemático inglés Alan Turing intenta descifrar el código Enigma alemán con la ayuda de otros matemáticos.",Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech
Guardians of the Galaxy,2014,121,"Acción, Aventura, Comedia",8.0,Un grupo de criminales intergalácticos debe unirse para detener a un guerrero fanático con planes de purgar el universo.,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana
Blade Runner 2049,2017,164,"Acción, Drama, Misterio",8.0,"El descubrimiento del joven Blade Runner K de un secreto largamente enterrado lo lleva a localizar al ex Blade Runner Rick Deckard, que ha estado desaparecido durante treinta años.",Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista
Her,2013,126,"Drama, Romance, Ciencia ficción",8.0,"En un futuro cercano, un escritor solitario desarrolla una relación poco probable con un sistema operativo diseñado para satisfacer todas sus necesidades.",Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara
Bohemian Rhapsody,2018,134,"Biografía, Drama, Música",8.0,"La historia de la legendaria banda de rock británica Queen y el cantante Freddie Mercury, antes de su famosa actuación en Live Aid (1985).",Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy
The Revenant,2015,156,"Acción, Aventura, Drama",8.0,Un hombre de la frontera en una expedición de comercio de pieles en la década de 1820 lucha por sobrevivir después de ser mutilado por un oso y abandonado por miembros de su propio equipo de caza.,Alejandro G. IÃ±Ã¡rritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson
The Perks of Being a Wallflower,2012,103,"Drama, Romance",8.0,Un introvertido estudiante de primer año es tomado bajo las alas de dos estudiantes de último año que le dan la bienvenida al mundo real.,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd
Tropa de Elite 2: O Inimigo Agora Ã© Outro,2010,115,"Acción, Crimen, Drama",8.0,"Después de un motín en la prisión, el ex capitán Nascimento, ahora oficial de seguridad de alto rango en Río de Janeiro, se ve arrastrado a una sangrienta disputa política que involucra a funcionarios del gobierno y grupos paramilitares.",JosÃ© Padilha,Wagner Moura,Irandhir Santos,AndrÃ© Ramiro,Milhem Cortaz
The King's Speech,2010,118,"Biografía, Drama, Historia",8.0,"La historia del rey Jorge VI, su improvisada ascensión al trono del Imperio Británico en 1936 y el logopeda que ayudó al inseguro monarca a superar su tartamudez.",Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi
The Help,2011,146,Drama,8.0,Un aspirante a autor durante el movimiento por los derechos civiles de la década de 1960 decide escribir un libro que detalla el punto de vista de las criadas afroamericanas sobre las familias blancas para las que trabajan y las dificultades por las que pasan a diario.,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard
Deadpool,2016,108,"Acción, Aventura, Comedia",8.0,"Un mercenario bromista experimenta con él y se vuelve inmortal pero feo, y se propone localizar al hombre que arruinó su apariencia.",Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein
Darbareye Elly,2009,119,"Drama, Misterio",8.0,A la misteriosa desaparición de una maestra de jardín de infancia durante un picnic en el norte de Irán le siguen una serie de desventuras para sus compañeros de viaje.,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i
Dev.D,2009,144,"Drama, Romance",8.0,"Después de romper con su novia de la infancia, un joven encuentra consuelo en las drogas. Mientras tanto, una adolescente queda atrapada en el mundo de la prostitución. ¿Serán destruidos o encontrarán redención?",Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya
Yip Man,2008,106,"Acción, Biografía, Drama",8.0,"Durante la invasión japonesa de China, un rico artista marcial se ve obligado a abandonar su casa cuando su ciudad está ocupada. Con pocos medios para mantenerse, Ip Man y los miembros restantes de la ciudad deben encontrar una manera de sobrevivir.",Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam
My Name Is Khan,2010,165,Drama,8.0,Un musulmán indio con síndrome de Asperger acepta en serio el desafío de hablar con el presidente de los Estados Unidos y se embarca en un viaje a través del país.,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane
Nefes: Vatan Sagolsun,2009,128,"Acción, Drama, Suspense",8.0,Historia de un grupo de trabajo turco de 40 hombres que debe defender una estación de relevo.,Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci
Slumdog Millionaire,2008,120,"Drama, Romance",8.0,"Un adolescente de Mumbai reflexiona sobre su vida tras ser acusado de hacer trampa en la versión india de ""¿Quién quiere ser millonario?"".",Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla
Black Swan,2010,108,"Drama, Suspense",8.0,"Una bailarina comprometida lucha por mantener la cordura después de ganar el papel principal en una producción de ""El lago de los cisnes"" de Tchaikovsky.",Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder
Tropa de Elite,2007,115,"Acción, Crimen, Drama",8.0,"En Río de Janeiro de 1997, el capitán Nascimento tiene que encontrar un sustituto para su puesto mientras intenta acabar con los narcotraficantes y criminales antes de la visita del Papa.",JosÃ© Padilha,Wagner Moura,AndrÃ© Ramiro,Caio Junqueira,Milhem Cortaz
The Avengers,2012,143,"Acción, Aventura, Ciencia ficción",8.0,Los héroes más poderosos de la Tierra deben unirse y aprender a luchar en equipo si quieren evitar que el travieso Loki y su ejército alienígena esclavicen a la humanidad.,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner
Persepolis,2007,96,"Animación, Biografía, Drama",8.0,Una niña iraní precoz y franca crece durante la Revolución Islámica.,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands
Dallas Buyers Club,2013,117,"Biografía, Drama",8.0,"En 1985, en Dallas, el electricista y estafador Ron Woodroof trabaja en el sistema para ayudar a los pacientes con SIDA a obtener los medicamentos que necesitan después de que le diagnostican la enfermedad.",Jean-Marc VallÃ©e,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn
The Pursuit of Happyness,2006,117,"Biografía, Drama",8.0,Un vendedor en apuros toma la custodia de su hijo mientras está a punto de comenzar una carrera profesional que le cambiará la vida.,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe
Blood Diamond,2006,143,"Aventura, Drama, Suspense",8.0,"Un pescador, un contrabandista y un sindicato de empresarios se enfrentan por la posesión de un diamante de valor incalculable.",Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers
The Bourne Ultimatum,2007,115,"Acción, Misterio, Suspense",8.0,Jason Bourne esquiva a una despiadada CIA. Oficial y sus agentes de un nuevo programa de asesinato mientras busca los orígenes de su vida como asesino entrenado.,Paul Greengrass,Matt Damon,Edgar RamÃ­rez,Joan Allen,Julia Stiles
Bin-jip,2004,88,"Crimen, Drama, Romance",8.0,Un joven transitorio irrumpe en casas vacías para participar de la vida de los residentes de vacaciones durante unos días.,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo
Sin City,2005,124,Thriller,8.0,"Una película que explora la oscura y miserable ciudad de Basin City, cuenta la historia de tres personas diferentes, todas atrapadas en una corrupción violenta.",Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen
Le scaphandre et le papillon,2007,112,"Biografía, Drama",8.0,"La verdadera historia del editor de Elle, Jean-Dominique Bauby, que sufre un derrame cerebral y tiene que vivir con un cuerpo casi totalmente paralizado.",92,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner
G.O.R.A.,2004,127,"Aventura, Comedia, Ciencia ficción",8.0,"Un joven turco astuto secuestrado por extraterrestres muestra su gran ""espíritu humanitario"" burlando al malvado comandante en jefe del planeta G.O.R.A.",Ãmer Faruk Sorak,Cem Yilmaz,Ãzge Ãzberk,Ozan GÃ¼ven,Safak Sezer
Ratatouille,2007,111,"Animación, Aventura, Comedia",8.0,Una rata que sabe cocinar hace una alianza inusual con un joven cocinero de un famoso restaurante.,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt
Casino Royale,2006,144,"Acción, Aventura, Suspense",8.0,"Después de obtener el estatus 00 y una licencia para matar, el agente secreto James Bond emprende su primera misión como 007. Bond debe derrotar a un banquero privado que financia a terroristas en un juego de póquer de alto riesgo en el Casino Royale, Montenegro.",Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright
Kill Bill: Vol. 2,2004,137,"Acción, Crimen, Suspense",8.0,"La Novia continúa su búsqueda de venganza contra su antiguo jefe y amante Bill, el solitario portero Budd y la traicionera y tuerta Elle.",Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah
Vozvrashchenie,2003,110,Drama,8.0,"En la naturaleza rusa, dos hermanos se enfrentan a una serie de emociones nuevas y conflictivas cuando su padre, un hombre al que sólo conocen a través de una fotografía, resurge.",Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103,"Drama, Romance",8.0,Un niño es criado por un monje budista en un aislado templo flotante donde los años pasan como las estaciones.,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min
Mar adentro,2014,126,"Biografía, Drama",8.0,"La historia fáctica del español Ramón Sampedro, que libró una campaña de treinta años a favor de la eutanasia y de su propio derecho a morir.",Alejandro AmenÃ¡bar,Javier Bardem,BelÃ©n Rueda,Lola DueÃ±as,Mabel Rivera
Cinderella Man,2005,144,"Biografía, Drama, Historia",8.0,"La historia de James J. Braddock, un boxeador supuestamente fracasado que regresó para convertirse en campeón y en una inspiración en la década de 1930.",Ron Howard,Russell Crowe,RenÃ©e Zellweger,Craig Bierko,Paul Giamatti
Kal Ho Naa Ho,2003,186,"Comedia, Drama, Musical",8.0,"La vida de Naina, una chica introvertida y perpetuamente deprimida, cambia cuando conoce a Aman. Pero Aman tiene un secreto que cambia sus vidas para siempre. Envuelto en todo esto está Rohit, el mejor amigo de Naina que oculta su amor por ella.",Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan
Mou gaan dou,2002,101,"Acción, Crimen, Drama",8.0,Una historia entre un topo del departamento de policía y un policía encubierto. Sus objetivos son los mismos: descubrir quién es el topo y quién es el policía.,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong
